IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Einheitstitel;Alternativtitel;Umfang;Format;Sprache;Anmerkung;USTC_Subject;Verfasser_a;GND_a;Titel_a;Verfasser_b;GND_b;Titel_b;Verfasser_c;GND_c;Titel_c;anmerkung_ort;Druckort;gnd_Ort;Land;gnd_Land;anmerkung_ort_b;Druckort_b;gnd_Ort_b;Land_b;gnd_Land_b
IDD-162;3884;ib00348000;null;null;null;743358;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermo de gloriosa Virgine Maria;null;ff. [26];4°;Latein;Signaturen [a-c8 d2]. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Sermo de gloriosa Virgine Maria;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-163;3886;ib00349000;B-300;null;null;743359;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermones de evangelio aeterno;null;ff. [330];2°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Sermones de evangelio aeterno;null;null;null;null;null;null;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS;null;null;null;null;null
IDD-164;3887;ib00350000;B-301;null;null;743360;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermones de evangelio aeterno;null;ff. [300];2°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975]. Exemplar der BSB München (2 Inc.s.a. 180 b): Holzschnitt vom Meister des Verardus (GND 116254421X);;Bernhardin von Siena;11850987X;Sermones de evangelio aeterno;null;null;null;null;null;null;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS;null;null;null;null;null
IDD-165;3888;ib00351000;B-299;null;null;743361;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermones de festivitatibus Virginis gloriosae;null;ff. [108];4°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Sermones de festivitatibus Virginis gloriosae;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-166;3889;ib00352000;B-304;null;null;743362;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Speculum peccatorum de contemptu mundi;null;ff. 6;4°;Latein;Signaturen [a6]. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX, 1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - [Universität Münster] (1939) [ UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975];Religious;Bernhardin von Siena;11850987X;Speculum peccatorum de contemptu mundi;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-167;4437;ib00715500;B-575;null;null;743489;Schreckenberg III (1994) 399-400;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;Cimone;ff. 8;4°;Latein;Signatur A8. Übersetzung aus dem Italinischen. ISTC-Anm.: Decamerone V, 1. GW: lat. von Philippus Beroaldus. Hrsg. Andreas Probst.;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Leipzig;4035206-7;Deutschland, Sachsen-Anhalt;XA-DE-SN;null;null;null;null;null
IDD-168;4451;ib00730000;V-251;null;null;743496;Schreckenberg III (1994) 399-400;Decamerone;Vitas patrum;ff. [398];2°;Deutsch;Übersetzung ins Deutsche;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Ulm;4061529-7;Deutschland, Baden-Württemberg;XA-DE-BW;null;null;null;null;null
IDD-169;4452;ib00731000;null;null;null;743497;Schreckenberg III (1994) 399-400;Decamerone;Cento nouelle. Das seind Die hundert neüen fabelen oder historien, so die gesaget seind worden z? einer pestile(n)czischen zeiten;ff. [368];2°;Deutsch;Signaturen [2]a–?s–zA–X8 Y6. Übersetzung ins Deutsche. Holzschnitte;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-170;M18275;id00136500;null;null;null;744244;null;Lied über den Judenfrevel zu Deggendorf: Geschichte der Juden zu Deggendorf mit dem Heiligen Sakrament;null;ff. 4;4°;Deutsch;betrifft Hostienfrevel in Deggendorf 1338. ISTC: Besitznachweise: Metten BenediktAbtei (not to be found (2017)). München BNM (copy lost). https://www.geschichtsquellen.de/werk/5174;Religious;null;null;Lied über den Judenfrevel zu Deggendorf: Geschichte der Juden zu Deggendorf mit dem Heiligen Sakrament;null;null;null;null;null;null;null;Bamberg;4004391-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-171;9084;id00377000;null;null;null;744505;Schreckenberg III (1994) 334-335. Microfiche: Primary Source Microfilm (an imprint of Cengage Learning), 2004. Incunabula: the Printing Revolution in Europe 1455-1500. Unit 61 - Academic Theology Part II, TH 89;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. IV. Sententiarum.;ff. [290];2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-172;9074;id00380000;D-167;null;null;744506;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in quattuor libros Sententiarum Petri Lombardi.;ff. 130;2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-173;9069;id00394000;D-319;null;null;744507;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;(1) Quodlibeta (USTC). (2) Quodlib(etum) Johannis duns Scoti subtilis theologoru(m) monarche (BSB);ff. [52];2°;Latein;"fragliche Auflage: wirklich enthalten? Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte [eine Auffassung], derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";[1] Religious. [2] Philosophy and Morality;Johannes Duns Scotus;118528165;(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-174;10142;if00239510;F-176;null;null;744911;VL II (1980) 769-793. VL XI (2004) 449-450;Krieg des Dichters wider einen Juden;null;ff. 14;4°;Deutsch;https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;Hans Folz;118534211;Krieg des Dichters wider einen Juden;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-175;10144;if00239530;null;null;null;744913;VL II (1980) 769-793. VL XI (2004) 449-450;(1) Von der Juden Messias (2) Der falsche Messias (Schreckenberg);null;ff. 6;8°;Deutsch;https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;Hans Folz;118534211;(1) Von der Juden Messias (2) Der falsche Messias (Schreckenberg);null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-176;10145;if00239540;null;null;null;744914;VL II (1980) 769-793. VL XI (2004) 449-450;(1) Von der Juden Messias (2) Der falsche Messias (Schreckenberg);null;ff. 6;8°;Deutsch;https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;Hans Folz;118534211;(1) Von der Juden Messias (2) Der falsche Messias (Schreckenberg);null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-177;10149;if00239580;F-179;null;null;744918;VL II (1980) 769-793. VL XI (2004) 449-450;(1) Die Rechnung Ruprecht Kolpergers (GW) (2) Jüdischer Wucher (Schreckenberg);null;ff. 4;2°;Deutsch;betrifft Wucher. https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;Hans Folz;118534211;(1) Die Rechnung Ruprecht Kolpergers (GW) (2) Jüdischer Wucher (Schreckenberg);null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-178;10150;if00239590;F-178;F-47;null;744919;Schöner (2002) 391-394, Nr. 62. VL II (1980) 769-793. VL XI (2004) 449-450.;(1) Die Rechnung Ruprecht Kolpergers (GW) (2) Jüdischer Wucher (Schreckenberg);Die rechn?g Ruprecht Kolpergers v? d? gesuch ter iuden auf 30 dn? (Schöner. Incipit);ff. [1];Einblattdruck;Deutsch;Einblattdruck. betrifft Wucher. https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31). Holzschnitt. typographischer Text. Transkription bei Schöner (2002) 391-394, Nr. 62. Abb: Schöner (2002) 213, nach: Gisela Ecker, Einblattdrucke von den Anfängen bis 1555. Untersuchungen zu einer Publikationsform literarischer Texte, 2 Bde (= Göppinger Arbeiten zur Germanistik 314, 1/2), Göppingen 1981, hier Bd. 2, S. 39, Abb. 10 [Bd. 1: urn:nbn:de:hbz:466:2-7075. Bd. 2: urn:nbn:de:hbz:466:2-7118 ];Musik;Hans Folz;118534211;(1) Die Rechnung Ruprecht Kolpergers (GW) (2) Jüdischer Wucher (Schreckenberg);null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-179;10151;if00239600;F-177;F-46;null;744920;VL II (1980) 769-793. VL XI (2004) 449-450;(1) Die Rechnung Ruprecht Kolpergers (GW) (2) Jüdischer Wucher (Schreckenberg);null;ff. [1];Einblattdruck;Deutsch;Einblattdruck. betrifft Wucher. https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik;Hans Folz;118534211;(1) Die Rechnung Ruprecht Kolpergers (GW) (2) Jüdischer Wucher (Schreckenberg);null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-180;10323;if00310000;F-258;null;null;744955;Schreckenberg III (1994) 74-75;(1) Bescheidenheit. (2) Proverbia eloquentis Freidanks, (3) Proverbia eloquentis Freydangks innumeras in se utilitates complectentia;Proverbia eloquentis Freidanks;ff. [36];4°;(1) Latein (2) Deutsch;"ISTC: ""Date from GW. Goff dates about 1487-95"". Signaturen a-c8 de6";Adages and Emblem books;Freidank, Frydank;118535188;(1) Bescheidenheit. (2) Proverbia eloquentis Freidanks, (3) Proverbia eloquentis Freydangks innumeras in se utilitates complectentia;null;null;null;null;null;null;null;Leipzig;4035206-7;Deutschland, Sachsen-Anhalt;XA-DE-SN;null;null;null;null;null
IDD-181;10713;ig00185000;G-182;null;null;745204;VL II (1936) 292-296. VL III (2-1981) 763-773. VL XI (2-2004) 632 (Nachtrag). https://www.hs-augsburg.de/~harsch/Chronologia/Lspost14/HenricusHassia/hen_tcp1.html. Zu Heinrich von Langenstein und zum Kontext des Traktats vgl. einführend: Hohmann, Thomas / Georg Kreuzer: «Heinrich von Langenstein». In: Die deutsche Literatur des Mittelalters: Verfasserlexikon, hg. von Kurt Ruh u a., Bd. 3, Berlin und New York 1981, Sp. 763–773. Knapp, Fritz Peter: Die Literatur des Spätmittelalters in den Ländern Österreich, Steiermark, Kärnten, Salzburg und Tirol von 1273 bis 1439. 2 Bde., Graz 1999 (Geschichte der Literatur in Österreich von den Anfängen bis zur Gegenwart 2), S. 106–132. Trusen, Winfried: Spätmittelalterliche Jurisprudenz und Wirtschafts­ethik, dargestellt an Wiener Gutachten des 14. Jahrhunderts, Wiesbaden 1961 (Vierteljahrschrift für Sozial- und Wirtschaftsgeschichte, Beiheft 43).;Opera;"Opera. Add: Henricus de Hassia: De contractibus; Henricus de Hoyta: De contractibus; Nicolaus Oresme: De moneta";ff. 388;2°;Latein;"Sammelwerk; Tractatus bipartitus de contractibus, Kapitel 24-31 überliefert als ""Tractatus contra Iudaeos"", hier Bd. 4, Bl. 185-224 (A1-I6). https://www.geschichtsquellen.de/autor/2714 ; ISTC gibt an: ""Henricus de Hassia: De contractibus; Henricus de Hoyta: De contractibus; Nicolaus Oresme: De moneta""";Religious;Heinrich von Langenstein;118548395;Tractatus contra Iudaeos;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-182;11346;ig00354000;G-251;null;null;745329;Schreckenberg III (1994) 569-571;(1) Liber de confutatione hebrayce secte (2) De confutatione hebraicae sectae;null;ff. 142;4°;Latein;Signaturen (2 –4 )6 A–R8;Religious;Johannes Baptista Gratia Dei , Giovanni Battista Graziadei;102487405;(1) Liber de confutatione hebrayce secte (2) De confutatione hebraicae sectae;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-183;11862;ig00708000;G-474;null;null;745534;Schreckenberg III (1994) 143-144;Opera;Opera. Johann Rosenbach;ff. [282];2°;Latein;"darin seine Schrift ""De Fide"". Signaturen [a4]a–g8 h–z6 aa–ff8 gg–tt6";null;Guilelmus Arvernus, Wilhelm von Auvergne, Guillaume d'Auvergne;118632981;Opera;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-184;11863;ig00711000.;G-471;null;null;745536;Schreckenberg III (1994) 143-144;(1) De fide et legibus (2) De fide. De legibus.;null;ff. 140;2°;Latein;"ISTC: ""Listed in Zainer's advertisement of 1476. Copies at Memmingen and Stuttgart LB have MS. dates of 1477"". Signaturen [a-o10]";Religious;Guilelmus Arvernus, Wilhelm von Auvergne, Guillaume d'Auvergne;118632981;De universo;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-185;11870;ig00717000;G-473;null;null;745541;null;De universo;null;ff. 150;2°;Latein;Signaturen Aa-Hh8 Ii-Xx6 Yy8;Religious;Guilelmus Arvernus, Wilhelm von Auvergne, Guillaume d'Auvergne;118632981;(1) De fide et legibus (2) De fide. De legibus.;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-186;12332;ih00090900;null;null;null;745663;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium , (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Liber Discipuli de eruditione Christifidelium. Abstracts from Praeceptorium seu Expositio decalogi. De operibus misericordiae;ff. [94];2°;Latein;Signaturen [a10 b8 d-g10 h8 i10 k8]. daran: Abstracts from Praeceptorium seu Expositio decalogi. De operibus misericordiae;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-187;12326;ih00091000;H-123;null;null;745664;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;ff. [248];2°;Latein;null;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-188;12327;ih00092000;H-124;null;null;745665;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;ff. [190];2°;Latein;Signaturen [a4 bc8 d6 e–q8 r10 s–x8 yz6 A8 B6];Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Reutlingen;4049657-0;Deutschland, Baden-Württemberg;XA-DE-BW;null;null;null;null;null
IDD-189;12328;ih00093000;H-125;null;null;745666;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;ff. [216];2°;Latein;Signaturen [a10 b-c8 d2 e-l8 m6 n-p8 q-r6 s8 t6 v8 x6 y-z8 A-C6 D-E10 F8];Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-190;12329;ih00094000;H-126;null;null;745667;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;ff. [168];2°;Latein;Signaturen j6 28 a10 b-t8;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS;null;null;null;null;null
IDD-191;12330;ih00095000;H-127;null;null;745668;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;ff. [136];2°;Latein;Signaturen i2 6 A8 B–E6 F8 G–L6 M8 N–R6 ST8;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-192;12331;ih00095200;null;null;null;745669;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;ff. 150;4°;Latein;Signaturen A8 B6 A8 B4 C8 D–F4 G8 H–K4 L8 M–O4 P8 Q–S4 T8 V–X4 Z8 AaBb4 Cc8. [Giessen UB (Mikrofilm)];Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-193;M13158;ij00267000;null;null;null;746254;Schreckenberg III (1994) 513-514. VL IV 561–567. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;De cupiditate;null;ff. [84];2°;Latein;Signaturen a–h8 ik6 l8: Judenfeindlich? GW: Vgl. Hofer, Johannes: Johannes Kapistran. Ein Leben im Kampf um die Reform der Kirche. 2 Bde. Heidelberg 1964–1965.;Philosophy and Morality;Johannes von Capestrano, Johannes de Capestrano, Johannes de Capistrano;118712632;De cupiditate;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-194;M26406;in00102000;N-97;null;null;747432;Schreckenberg III (1994) 497. VL VI (1987) 1048-1059;Postilla cum sermonibus evangeliorum dominicalium;null;ff. [196];4°;Latein;"hierauf bezieht sich ""Bewährung, dass die Juden irren"" (GW M41179)";Religious;Nikolaus von Dinkelsbühl, Nicolaus de Dinkelsbühl, Nicolaus de Dinkelsbuel, Nikolaus Prunczlein von Dinkelsbühl;11921587X;Postilla cum sermonibus evangeliorum dominicalium;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-195;M27101;in00257000;N-205;null;null;747533;Schreckenberg III (1994) 544-546 . VL VI (1987) 1008-1013;Contra perfides Judaeos de conditionibus veri Messiae;null;ff. [50];2°;Latein;Signaturen [a12 b–c10 d12 e6];Religious;Petrus Nigri, Peter Schwarz, Petrus Niger (GW, ISTC, USTC);100958079;Contra perfides Judaeos de conditionibus veri Messiae;null;null;null;null;null;null;null;Esslingen;4015575-4;Deutschland, Baden-Württemberg;XA-DE-BW;null;null;null;null;null
IDD-196;M27104;in00258000;N-206;null;null;747534;Schreckenberg III (1994) 544-546 . VL VI (1987) 1008-1013;Contra perfidos Judaeos de conditionibus veri Messiae;Contra perfidos Judaeos de conditionibus veri Messiae Stern des Meschiah;ff. [322];4°;Deutsch;"stark erweiterete Fassunf und Übersetzung von Nigris ""Contra perfides Judaeos de conditionibus veri Messiae"" (GW M27101). Signaturen [a–c10 d–z8 A–P8 QR6]";Religious;Petrus Nigri, Peter Schwarz, Petrus Niger (GW, ISTC, USTC);100958079;Contra perfidos Judaeos de conditionibus veri Messiae;null;null;null;null;null;null;null;Esslingen;4015575-4;Deutschland, Baden-Württemberg;XA-DE-BW;null;null;null;null;null
IDD-197;(1) M29568 + (2) GW(Einbl) 1079;ip00127950;null;P-7;null;747705;Schöner (2002) 362-364, Nr. 41. ISTC ip00127950: Schramm XVIII 713. GW(Einbl) 1079. VE15 P-7. M29568. H. Boockmann, Die Stadt im Späten Mittelalter (München, 1986) p.286-87 no.429 & fig.. Schanze(Romweg-Karte) p.136. Schanze(Inkunabelgrenze) 83. Van der Vekene(Hochfeder) 41 & figs.56-58. Schr(Handbuch) 1965. Fac: Schmidt(Denkmale) fig.22. Heitz, Einblattdrucke XXXII 159;Geschichte der Juden von Passau mit dem Sakrament im Jahr 1477;Ein grawsamlich geschicht Geschehen zu passaw (Schöner. Incipit);ff. [1];Einblattdruck;Deutsch;betrifft Hostienfrevel in Passau 1477. Holzschnitt,Format 380 x 270. typographischer Text, Prosa. Transkription bei Schöner (2002) 363-364, Nr. 41. Abb. Schöner (2002) 151, nach: W[ilhelm] L[udwig] Schreiber, Holzschnitte aus dem letzten drittel des fu?nfzehnten Jahrhunderts in der KGL. graphischen Sammlung zu Mu?nchen, II. Band (zweite Ha?lfte, Nr. 124-179) (= Einblattdrucke des fünfzehnten Jahrhunderts 33 [nicht 32 wie bei Schöner fälschlischerweise angegeben], hrsg. von Paul Heitz), Straßburg 1912, S. 159.;History and Chronicles;null;null;Geschichte der Juden von Passau mit dem Sakrament im Jahr 1477;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-198;M29569;ip00127960;null;null;null;747706;null;Geschichte der Juden von Passau mit dem Sakrament im Jahr 1477;null;ff. [1];Einblattdruck;Deutsch;betrifft Hostienfrevel in Passau 1477. Holzschnitte;History and Chronicles;null;null;Geschichte der Juden von Passau mit dem Sakrament im Jahr 1477;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-199;M29971;ip00201000;P-45;null;null;747727;Schreckenberg III (1994) 498-501;Scrutinium scripturarum;null;ff. [218];2°;Latein;null;Religious;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Scrutinium scripturarum;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
