IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Titel;Alternativtitel;Umfang;Format;Sprache; Anmerkung;USTC_Subject
IDD-117;null;null;null;null;P 2436;683755;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos. (2) Pharetra fidei catholice;Pharetra catholice fidei sive ydonea disputatio inter Christianos et judeos in qua propulchra tanguntur media et rationes quibus quiuis Christifidelis tam ex prophetis suis pro riis qua ex nostris eorum erroribus faciliter poterit obuiare;ff. (10);4°;Latein;null;Religious
IDD-118;null;null;null;null;P 2437;683756;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos. (2) Pharetra fidei catholice;Pharetra catholice fidei: sive ydonea disputatio inter Christianos et judeos: in qua propulchra tanguntur media et rationes quibus quiuis Christifidelis tam ex prophetis suis pro riis qua ex nostris eorum erroribus faciliter poterit obuiare;ff. (10);4°;Latein;null;Religious
IDD-119;null;null;null;null;P 2435;683757;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos. (2) Pharetra fidei catholice;Pharetra catholice fidei sine ydonea disputatio inter Christianos et judeos in qua propulchra tangutur media et rationes quibus quiuis Christifidelis tam ex prophetis suis pro riis qua ex nostris eorum erroribus faciliter poterit obuiare;ff. (10);4°;Latein;null;Religious
IDD-120;null;null;null;null;P 2434;683758;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos. (2) Pharetra fidei catholice;Pharetra fidei catholice sive ydonea disputatio inter Christianos et judeos in qua pro ulcra tanguntur media et rationes quibus quiuis Christifidelis tam ex pro hetis suis pro riis qua ex nostris eorum erroribus faciliter poterit obuiare.;ff. (12);4°;Latein;null;Religious
IDD-121;null;null;null;null;V 970;687898;Schreckenberg III (1994) 592-595;Propugnaculum fidei Christiane victoris de carben primum judei rabi et legisperiti. Nuc Christiani sacerdois. Instar dyalogi Christianum et judeum disputatores introducens;null;ff. (18);4°;Latein;null;Religious
IDD-122;null;null;null;null;Z 178;689113;VL-Hum II (2013) 1421-1446. Schreckenberg III (1994) 580-581;Questiones: de paruulis judeorum baptisandis: a communi doctorum assertione dissidentes. In quibus preter stili nitorem: rara: jucunda et grata invenias. Ab excellentiss. Viro Udalrico Zasio: legum doctore: earundemque in gymnasio Friburgeñ. Ordinario: edite.;null;ff. (53);4°;Latein;Nebent.: De iudeis. - Signaturformel: A - H5;Jurisprudenz
IDD-123;null;null;null;null;S 1561;689569;Schreckenberg III (1994) 391-393.;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus rabby Samuelis, errorem Iudaeorum indicans;ff. (32);8°;Latein;null;null
IDD-125;null;null;null;null;P 2303;694259;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Speculum adhortationis Iudaice ad Christum;ff. (20);4°;Latein;null;Religious
IDD-126;null;null;null;null;P 2302;694260;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Speculum adhortationis Iudaice ad Christum;ff. (20);4°;Latein;null;Religious
IDD-127;null;null;null;null;P 2304;694261;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Speculum adhortationis Iudaice ad Christum;ff. (14);4°;Latein;null;Religious
IDD-128;null;null;null;null;P 2319;694755;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Streitbüchlein;Streydt puechlyn vor dy warheit und eyner warhafftiger historie vechtende wyder den falschen broder Doctor Joannis Reuchlyn.und syne jungeren;ff. (28);4°;Deutsch;null;null
IDD-129;null;null;null;null;P 2320;694763;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Sturmglocke;Sturm uber und wider die drulosen Juden. Anfechter des leichnams Christi und seiner glidmossen. Sturm uber eynen alten sunder Johann reuchlin. Zuneiger der falschen Juden und wesens. Uff warer thatt begriffen. In seinem biechlin augenspiegell;ff. (8);4°;Deutsch;null;null
IDD-130;null;null;null;null;null;700081;VL II (1980) 769-793. VL XI (2004) 449-450;Von dem Kunig Salomon und Marckolffo und einem narrn ein huebsch faßnacht spil new gemacht.;null;ff. (16);8°;Deutsch;Judenfeindlich?;Spiel
IDD-131;null;null;null;null;ZV 12009;700089;null;Von dem untrenlichen ungenaeten rock unsers Herren Jesu Christi den im sein ausserwelte muter selbs gewürckt hat wie der ainem alten Juden gegeben ward. und nach vil Geschichten wunderbarlich ainem Künig (arenndel genant) worden ist der in gen Trier bracht auch yetzo auff dem grossen Reichstag zu Trier in gegenwertigkait Roemischer Kaiserlicher Majestat und anderer Stende des Hailigen Reichs erfunden;Von dem untrenlichen ungenaeten rock unsers Herren Jesu Christi den im sein ausserwelte muter selbs gewürckt hat wie der ainem alten Juden gegeben ward. und nach vil Geschichten wunderbarlich ainem Künig (arenndel genant) worden ist der in gen Trier bracht auch yetzo auff dem grossen Reichstag zu Trier in gegenwertigkait Roemischer Kaiserlicher Majestat und anderer Stende des Hailigen Reichs erfunden;ff. (38);4°;Deutsch;"Judenfeindlich? VD16: ""Nicht identisch mit VD16 ZV 12009. Erkennungslesart: auff dem grossen || Reichstag"". British Library Identifier: System number: 002716093, Physical Description: (76) pages : illustrations. (4º), Obsolete shelfmark: 1368.c.6. , Shelfmark(s): General Reference Collection C.175.d.29. , UIN: BLL01002716093";Religious
IDD-132;null;null;null;null;ZV 12008;700090;null;Von dem untrenlichen ungenaeten rock unsers Herren Jesu Christi den im sein ausserwelte muter selbs gewürckt hat wie der ainem alten Juden gegeben ward. und nach vil Geschichten wunderbarlich ainem Künig (arenndel genant) worden ist der in gen Trier bracht auch yetzo auff dem grossen Reichstag zu Trier in gegenwertigkait Roemischer Kaiserlicher Majestat und anderer Stende des Hailigen Reichs erfunden;Von dem untrenlichen ungenaeten rock unsers Herren Jesu Christi den im sein ausserwelte muter selbs gewürckt hat wie der ainem alten Juden gegeben ward. und nach vil Geschichten wunderbarlich ainem Künig (arenndel genant) worden ist der in gen Trier bracht auch yetzo auff dem grossen Reichstag zu Trier in gegenwertigkait Roemischer Kaiserlicher Majestat und anderer Stende des Hailigen Reichs erfunden;ff. (38);4°;Deutsch;"Judenfeindlich? VD16: ""Nicht identisch mit VD16 ZV 12009. Erkennungslesart: auff dem grossen || Reichstag""";Religious
IDD-133;null;null;null;null;J 377;701482;Schreckenberg III (1994) 513-514. VL IV 561–567. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Vita Johannis capistrani. Sermones eiusdem.;Vita Johannis Capistrani. Sermones eiusdem (Edente Bernhardino confessore generalis monasterii Mariemay);ff. (21);4°;Latein;Judenfeindlich?;null
IDD-134;null;null;null;null;V 2688;702691;null;Von ainer grosse meng unnd gewalt der Juden die lange zeyt mit unwonhafftigen wuesten beschlossen und verborgen gewesen yetzunder auß gebrochen und an tag kommen seyn dreyssig tag rayß von Jherusalem sich nyder geschlagen was sy fürgenommen haben findt man nach laut dises sendbrieffs zum tayl glaubliche underricht.;Von ainer grosse meng unnd gewalt der Juden die lange zeyt mit unwonhafftigen wuesten beschlossen und verborgen gewesen yetzunder auß gebrochen und an tag kommen seyn dreyssig tag rayß von Jherusalem sich nyder geschlagen was sy fürgenommen haben findt man nach laut dises sendbrieffs zum tayl glaubliche underricht.;ff. (3);4°;Deutsch;null;Religious
IDD-135;null;null;null;null;V 2458;702797;null;Von den Christenlichen streyt geschehen im. M.CCCCC.VI. jar zu Lißbona ein haubtstat in Portigal zwischen den Christen und newen Christen oder Juden von wegen des gecreutzigisten got. USTC);null;ff. (6);4°;Deutsch;null;News Books
IDD-136;null;null;null;null;W 2620;707062;null;Wie zu Plonig ein Christ eines Juden Tochter schwanger machte;Wie zu plonig ein crist eyns Jueden tochter schwanger macht und sie vermeynt sie hett von eynem Engel der Jueden Messiam entpfangen. Im spaeten thon.;ff. (7);8°;Deutsch;Exemplar: Erlangen, Universitätsbibliothek;(1) News Books. (2) Music
IDD-137;null;null;null;null;V 2456;707315;null;Lied über den Judenfrevel zu Deggendorf: Geschichte der Juden zu Deggendorf mit dem Heiligen Sakrament;(1) Von Tegkendorff das geschicht wie die Juden das hailig sacrament haben z?gericht1, (2) Won tegkendorff das Geschicht wie die Juden das hailig Sacrament haben zugericht (USTC);ff. (4);4°;Deutsch;betrifft Hostienfrevel in Deggendorf 1338;Religious
IDD-138;null;null;null;null;P 2295;707771;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Zu Lob und Ehre;Zu lob und ere des aller durchleichtigisten und großmechtigisten Fürsten und Herren. Herr Maximilian von Gottes gnaden Roemischen Kaiser zu allen zeiten merer deß Reichs Teüscher nacion Hungarn Dalmacia Croacia Künig Ertzhoertzog zu Osterrich hat durch Joannes Pfefferkorn etwan ain jud yetz Christen worden mit aller duemuetigkait unnd hoechster vererung so er hat dyß buechlin gemacht und sagt wie die k.ma.dem vorgemelten Pfefferkorn volmechtigen gewalt geben hat den Juden alle falsche buecher zenemen;ff. (20);4°;Deutsch;Lagenform: AB8, C4. Das in Padua am 19. August 1509 ausgestellte Mandat Kaiser Maximilians I. wird im dritten Abschnitt der Schrift wiedergegeben. dig. Faks. (Staatsbibliothek Bamberg 22/.23 D 20), Bildnr. 10-12.;Religious
IDD-139;null;null;null;null;null;709427;Schreckenberg III (1994) 391-393. USTC-References: Jean Muller, Bibliographie Strasbourgeoise Tome II-III, Reference: no. Knobloch 405;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Quod Judaei Messiam qui venit expectent libellus;N/S;null;Latein;null;Religious
IDD-147;M45801;ip00574000;T-142;null;null;741531;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos. (2) Pharetra fidei catholice;null;ff. 10;4°;Latein;null;Religious
IDD-148;M45802;ip00577000;T-145;null;null;741532;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos. (2) Pharetra fidei catholice;null;ff. 10;4°;Latein;null;Religious
IDD-149;M45804;ip00578000;T-146;null;null;741533;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos. (2) Pharetra fidei catholice;null;ff. 10;4°;Latein;null;Religious
IDD-150;M45797;ip00579000;T-147;null;null;741534;https://www.gesamtkatalogderwiegendrucke.de/docs/THEOSUB.htm. Cardelle de Hartmann, C.: Lateinische Dialoge 1200-1400 (Mittellateinische Studien und Texte 37). Leiden 2007, R49. Kaeppeli, Th.: Scriptores Ordinis Praedicatorum Medii Aevi, IV, Rom 1993. Cardelle de Hartmann, Carmen: Drei Schriften mit dem Titel Pharetra fidei. ?In: Aschkenas Bd. 11 (2001) S. 327-34;(1) Pharetra fidei contra Iudaeos. (2) Pharetra fidei catholice;null;ff. 12;4°;Latein;null;Religious
IDD-151;M41175;is00362000;B-406;null;null;741897;Schreckenberg III (1994) 532-533. VL I (1978) 840-841;(1) Seelen-Wurzgarten, Teil I. (2) Bewährung, dass die Juden irrenBewährung, dass die Juden irren;null;ff. (40);2°;Deutsch;"Signaturen (a10 b-d8 e6). Teil I nur mit Titel ""Bewährung, dass die Juden irren"". bezieht sich auf Nikolaus von Dinkelsbühl (GND 11921587X), Postilla cum sermonibus evangeliorum dominicalium = GW M26406 (Schreckenberg 497).VL: Zur Drucküberlieferung: Steer, Zur Entstehung und Herkunft der Donaueschinger Hs. 120, in: Würzburger Prosastud. II. (Medium Aevum 31), 1975, S. 193-199, hier S. 194f. Druckabschrift: https://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-66359";null
IDD-152;M41177;is00363000;null;null;null;741898;Schreckenberg III (1994) 532-533. VL I (1978) 840-841;(1) Seelen-Wurzgarten, Teil I. (2) Bewährung, dass die Juden irrenBewährung, dass die Juden irren;null;ff. (48);2°;Deutsch;"Signaturen (a10 b-e8 f6). Teil I nur mit Titl ""Bewährung, dass die Juden irren"". bezieht sich auf Nikolaus von Dinkelsbühl (GND 11921587X), Postilla cum sermonibus evangeliorum dominicalium = GW M26406 (Schreckenberg 497).VL: Zur Drucküberlieferung: Steer, Zur Entstehung und Herkunft der Donaueschinger Hs. 120, in: Würzburger Prosastud. II. (Medium Aevum 31), 1975, S. 193-199, hier S. 194f. Druckabschrift: https://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-66359";null
IDD-153;(1) M41179. (2) (Nachtr) 49;is00363500;null;null;null;741899;Schreckenberg III (1994) 532-533. VL I (1978) 840-841;(1) Seelen-Wurzgarten, Teil I. (2) Bewährung, dass die Juden irrenBewährung, dass die Juden irren;null;ff. 45;2°;Niederdeutsch;"Signaturen (a10 b-e8 f6). Teil I nur mit Titel ""Bewährung, dass die Juden irren"". bezieht sich auf Nikolaus von Dinkelsbühl (GND 11921587X), Postilla cum sermonibus evangeliorum dominicalium = GW M26406 (Schreckenberg 497).VL: Zur Drucküberlieferung: Steer, Zur Entstehung und Herkunft der Donaueschinger Hs. 120, in: Würzburger Prosastud. II. (Medium Aevum 31), 1975, S. 193-199, hier S. 194f. Druckabschrift: https://digital.blb-karlsruhe.de/urn/urn:nbn:de:bsz:31-66359";null
IDD-154;M42933;iw00008000;B-306;null;null;742214;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”. Andrew Pettegree and Malcolm Walsby, Netherlandish Books (NB): Books published in the Low Countries and in the Dutch language abroad before 1601, Reference: 3524;Speculum peccatorum de contemptu mundi;Warnung vor der falschen Liebe dieser Welt (German);ff. (56);4°;Deutsch;Signaturen a-d6 e4 f-i6 k4. Illustrationen (Holzschnitte). Übersetzung ins Deutsche. Judendfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-155;894;ia00410000;N-30;null;null;742497;null;Consilia contra Judaeos foenerantes;;ff. (46);2°;Latein;betrifft Wucher.;null
IDD-156;1574;ia00539000;A-450;null;null;742716;Schreckenberg III (1994) 536-539. Floerken 19;Fortalitium fidei;null;ff. (248);2°;Latein;Signaturen (a-b8 c-f10 g-h8 i6 k-q10 r-s8 t-z10 A-B10 C8 D6);Religious
IDD-157;1575;ia00540000;A-451;null;null;742717;Schreckenberg III (1994) 536-539. Floerken 19;Fortalitium fidei;(1)Jean de Romoys impensis (2) Etienne Gueynard;ff. 240;2°;Latein;Signaturen (a8 b-x10 y-z8 A-B8);Religious
IDD-158;1576;ia00541000;A-452;null;null;742718;Schreckenberg III (1994) 536-539. Floerken 19;Fortalitium fidei;Fortalitium fidei contra Judaeos, Saracenos aliosque Christianae fidei inimicos;ff. 160;2°;Latein;Signaturen (a6 b8 c-z6 A-B6 C8);Religious
IDD-159;1578;ia00543000;null;null;null;742719;Schreckenberg III (1994) 536-539. Floerken 19;Fortalitium fidei;null;ff. (300);4°;Latein;null;Religious
IDD-160;3881;ib00345000;null;null;null;743356;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;De contractibus et usuris;null;ff. 170;2°;Latein;Signaturen (a8 b-d10 e8 f10 g8 h10 i8 k10 l12 m-n8 o10 p8 q10 r8 s6 t8). Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);(1) Jurisprudence. (2) Economics. (3) Religious
IDD-161;3882;ib00346000;null;null;null;743357;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Quadragesimale de christiana Religiouse;null;ff. 254;2°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-162;3884;ib00348000;null;null;null;743358;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermo de gloriosa Virgine Maria;null;ff. (26);4°;Latein;Signaturen (a-c8 d2). Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-163;3886;ib00349000;B-300;null;null;743359;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermones de evangelio aeterno;null;ff. (330);2°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-164;3887;ib00350000;B-301;null;null;743360;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermones de evangelio aeterno;null;ff. (300);2°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975). Exemplar der BSB München (2 Inc.s.a. 180 b): Holzschnitt vom Meister des Verardus (GND 116254421X);
IDD-165;3888;ib00351000;B-299;null;null;743361;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Sermones de festivitatibus Virginis gloriosae;null;ff. (108);4°;Latein;Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-166;3889;ib00352000;B-304;null;null;743362;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”.;Speculum peccatorum de contemptu mundi;null;ff. 6;4°;Latein;Signaturen (a6). Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-167;4437;ib00715500;B-575;null;null;743489;Schreckenberg III (1994) 399-400;Decamerone;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis. (3) Cimone;ff. 8;4°;Latein;Signatur A8. Übersetzung aus dem Italinischen. ISTC-Anm.: Decamerone V, 1. GW: lat. von Philippus Beroaldus. Hrsg. Andreas Probst.;Literature
IDD-168;4451;ib00730000;V-251;null;null;743496;Schreckenberg III (1994) 399-400;Decamerone;Vitas patrum;ff. (398);2°;Deutsch;Übersetzung ins Deutsche;Literature
IDD-169;4452;ib00731000;null;null;null;743497;Schreckenberg III (1994) 399-400;Decamerone;Cento nouelle. Das seind Die hundert neüen fabelen oder historien, so die gesaget seind worden z? einer pestile(n)czischen zeiten;ff. (368);2°;Deutsch;Signaturen (2)a–?s–zA–X8 Y6. Übersetzung ins Deutsche. Holzschnitte;Literature
IDD-170;M18275;id00136500;null;null;null;744244;null;Lied über den Judenfrevel zu Deggendorf: Geschichte der Juden zu Deggendorf mit dem Heiligen Sakrament;null;ff. 4;4°;Deutsch;betrifft Hostienfrevel in Deggendorf 1338. ISTC: Besitznachweise: Metten BenediktAbtei (not to be found (2017)). München BNM (copy lost). https://www.geschichtsquellen.de/werk/5174;Religious
IDD-171;9084;id00377000;null;null;null;744505;Schreckenberg III (1994) 334-335. Microfiche: Primary Source Microfilm (an imprint of Cengage Learning), 2004. Incunabula: the Printing Revolution in Europe 1455-1500. Unit 61 - Academic Theology Part II, TH 89;(1) Quaestiones in quattuor libros Sententiarum. (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in libr. IV. Sententiarum.;ff. (290);2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte (eine Auffassung), derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).Mit Guillermus Vorilongus (GND 100944264), Vademecum super 1.IV Sententiarum";(1) Religious. (2) Philosophy and Morality
IDD-172;9074;id00380000;D-167;null;null;744506;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum. (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;Quaestiones in quattuor libros Sententiarum Petri Lombardi.;ff. 130;2°;Latein;"Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte (eine Auffassung), derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";(1) Religious. (2) Philosophy and Morality
IDD-173;9069;id00394000;D-319;null;null;744507;Schreckenberg III (1994) 334-335;(1) Quaestiones in quattuor libros Sententiarum. (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi;(1) Quodlibeta (USTC). (2) Quodlib(etum) Johannis duns Scoti subtilis theologoru(m) monarche (BSB);ff. (52);2°;Latein;"fragliche Auflage: wirklich enthalten? Judenfeindliche Apologetik: Sententiarum, Librum IV, distincio IV. Duns Skotus ""initiierte (eine Auffassung), derzufolge Zwangsbekehrung und Zwangstaufen von Juden erlaubt sind"" (Schreckenberg III (1994) 334).";(1) Religious. (2) Philosophy and Morality
IDD-174;10142;if00239510;F-176;null;null;744911;VL II (1980) 769-793. VL XI (2004) 449-450;Krieg des Dichters wider einen Juden;null;ff. 14;4°;Deutsch;https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik
IDD-175;10144;if00239530;null;null;null;744913;VL II (1980) 769-793. VL XI (2004) 449-450;(1) Von der Juden Messias (2) Der falsche Messias (Schreckenberg);null;ff. 6;8°;Deutsch;https://www.gesamtkatalogderwiegendrucke.de/docs/FOLZHAN.htm. Chronlogie der Drucke bei: Auswahl / Hans Foltz. Bearb. von Ingeborg Spriewald (UB Gießen, FH Germ VOL 5 / 24.31 );Musik
